3,Combo Attack - 连招攻击
10,Bob and Weave - 左右闪避
11,Momentum - 动力
12,Blood Moon - 血月
14,Territory - 领土
5,Shuriken - 手里剑
6,Shadow Clone - 影分身
7,Fury - 狂怒
8,Substitute - 替身
9,Work Gloves - 工作手套
16,Syringe - 注射器
17,Pandemic - 大流行病
26,Miasma - 毒雾
15,Milo - 米洛
27,Treat - 对待
18,Coffee - 咖啡
19,Espresso - 浓缩咖啡
20,Paid Time Off - 带薪休假
21,Productivity - 生产力
22,Overtime - 加班
23,Folding Fan - 折扇
24,Thin Ice - 脆冰
25,Stunner - 晕眩
37,Fairy - 仙灵
2,Glow Up - 发光
0,Slash - 砍劈
31,Inner Power - 内力
34,Mark - 标记
32,Dark Domain - 黑暗领域
33,Mai Tai - Mai Tai
4,Rifle - 步枪
44,High-Caliber Rounds - 高口径弹药
45,Rate of Fire - 射速
46,Dextrous Reload - 快速装填
47,Strafe - 横扫
49,Furry Swipes - 毛扫花枪
50,Cat Nap - 小睡
51,Cat Pose - 猫式
52,Pounce - 猛扑
59,Fix It Up! - 修理它!
60,Old Man - 老人
61,Inebriated - 醉酒的
62,Toolbelt - 工具带
63,Wifey - 妻子
64,Tipper - 赏金刃
65,Swift Strike - 迅捷打击
66,Precision - 精准
67,Advantage - 优势
68,Dancing Blade - 舞刃
69,Arrow Barrage - 箭雨
70,Bomb Arrows - 炸弹箭
71,Fire Arrows - 火箭
72,Vault - 跳跃
73,Arrow Rain - 箭雨
104,Command - 指令
105,Marching Order - 行军命令
106,Better Weaponry - 更好的武器
107,Inspiration - 灵感
108,Stand Together - 团结一致
79,Explosion - 爆炸
80,Combust - 燃烧
81,Flame Trail - 火焰之路
82,Ring of Destruction - 毁灭之环
83,Meteor Shower - 流星雨
111,Turon - 香蕉卷
112,Glaze - 糖霜
113,Deflect - 偏转
114,Resist - 抵抗
115,Richie - 理查德
127,Backstab - 背刺
128,Shadow Step - 暗影步
129,Escape - 逃脱
130,Dexterity - 灵巧
131,Ambush - 埋伏
133,Sharps - 尖锐物
134,Stapler - 订书机
135,Weightless - 无重力
136,Ragi - Ragi
137,Blade Storm - 刀刃风暴
138,Swordstorm - 剑风暴
139,Strike Weakness - 攻击弱点
140,Evade - 躲避
141,Sword of Strength - 力量之剑
142,Summon Sword - 召唤剑
144,Football - 椭圆球
145,Cleats - 长钉鞋
146,Tackle - 扑倒
147,Linemen - 前锋
148,Dior - 迪奥
158,Dual Revolvers - 双持左轮手枪
159,Ricochet - 弹跳
160,Flashbang - 闪光弹
161,Tumble - 翻滚
162,Desperado - 亡命之徒
168,Fangs - 尖牙
169,Swarm - 蜂群
170,Survivor - 幸存者
171,Vampire - 吸血鬼
172,Transform - 变形
173,Drill Gun - 钻头枪
174,Overdrive - 超速运转
175,Rocket Gun - 火箭枪
176,Thrusters - 推进器
177,Replicator - 复制器
178,Broad Strokes - 幅度大的笔划
179,Color Theory - 色彩学
180,Speed Painting - 快速绘画
181,Painting Boots - 绘画靴子
182,Painting Apron - 彩绘围裙
183,Brandish - 露出
184,Sword Beam - 剑光束
185,Dashing Moves - 冲刺动作
186,Almond Milk - 杏仁奶
187,Boomer - 回力标
190,Cast - 投掷
191,Power Reel - 蓄力收线
